Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
5700,2.12,6865.83,22,57.89,4855.9,10293.6,350,8228.56,80,48718189
5900,2.23,7888.74,5.6,45.93,5297.3,11827.2,147.7,8342.41,91,49785282
5980,1.94,7068.27,4,70.17,5468.7,10597.1,197,7618.28,106,50861162
5999,1.79,6529.86,17,56.89,5462.5,9789.9,70,6683.86,126,51959015
5970,2.07,7579.05,5,27.34,5485.2,11362.9,250,7598.67,134,53095408
5940,2.08,7768.82,33.3,26.12,5600.2,11647.4,201.4,8326.06,514,54281846
5910,2.2,8280.94,9,37.12,5651.9,12415.2,12,8774.32,251,55522803
5880,2.52,9598.26,17,46.71,5711.7,14390.2,197,9480.56,326,56814306
5850,2.63,9833.78,89,63.95,5611.7,14743.3,42,9983.86,482,58148384
5820,2.73,10342.24,83,64.42,5675,15505.6,322,10576.67,823,59512619
5616,2.78,10588.49,59.4,83.55,5718.3,15874.8,336.1,10742.2,251,60896721
5570,2.81,10673.93,132,94.08,5703.1,16002.9,482.5,11213.91,556,62293856
5527,2.7,10073.43,120.4,76.3,5603.1,15102.6,322.5,10664.02,675,63701972
5460,2.96,11339,91.2,105.52,5740.8,17000,199.5,10954.79,366,65120439
5400,3.21,12670.53,1420,104.26,5911.2,18996.3,55.12,11429.84,97,66550234
5339,3.18,12823.14,1624,104.94,6042.8,19225.1,1.9,11722.49,98,67988862
5368,3.11,13087.81,1033,145.66,6302.7,19621.9,6.17,11884.43,114,69436954
5506,3.33,14400.73,1945.8,139.19,6475.4,21590.3,1.7,12591.88,144,70883481
5516,3.48,15232.01,1722,136.71,6559.4,22836.6,0.75,13494.62,189,72300308
5464,3.57,15693.38,1983,216.86,6598.6,23528.3,,13748.29,230,73651218
5403,3.69,16650.79,1988,226.49,6765.6,24963.7,11,14147.52,289,74910461
5554,3.77,17606.6,3003,267.28,7003.8,26396.7,,14501.17,338,76068743
5668,3.88,18358.44,3574.8,259.65,7099.7,27523.9,,14542.28,362,77133214
5763,3.96,19440.05,3730,322.21,7362.7,29145.5,1.3,15639.47,361,78115710
6000,4.1,20939.66,4508.28,342.93,7653.6,31393.8,5.2,16348.1,375,79035871
6200,4.24,21697.18,3476.98,365.65,7666.3,32529.5,,17768.1,402,79910412
6649,4.29,21416.3,3729.46,286.73,7492.7,32108.4,2.6,17028.73,413,80742499
6600,4.59,22976.28,3240.93,304.96,7504.3,34447.2,40,18528.65,440,81534407
6581,4.64,23057.39,3813,342.3,7452.2,34568.8,2.25,18703.02,489,82301656
6469.5,4.86,24111.32,4063,403.91,7445.3,36148.9,0.06,19237.62,604,83062821
6358,4.89,23900.54,5250,292.26,7329.2,35832.9,0.34,18988.88,700,83832661
6348,4.89,23911.62,4642,300.17,7324.8,35849.5,0.57,18801.65,797,84617540
6309.6,4.99,23973.78,4558,353.01,7207.4,35942.7,2.08,19055.64,920,85419591
6282.5,5.23,25832.78,4735.17,305.7,7400.2,38729.8,0.68,20212.93,1154,86243413
6300,5.24,25979.78,5968.59,403.04,7437.2,38950.2,0.85,20222.14,1181,87092252
6437.6,5.34,26683.74,6892.96,310.45,7489.4,40005.6,0.98,20022.03,1297,87967651
6401.3,5.54,28279.69,7112,255.46,7655.44,42398.34,2.41,20824.19,1532,88871561
6422.8,5.64,29122.27,8010.92,296,7761.31,43737.6,27.6,20836.06,1751,89802487
6409.5,5.57,29374.2,3939.08,373.76,7902.81,44040.46,6.25,21391.1,1899,90753472
9970,1.72,5452.72,810.51,4.42,4763.8,8175,,5018.1,99,27913750
9970,1.62,4906.99,524.29,4.82,4528.1,7356.8,,5093.02,89,28570097
9485,1.76,5737.47,145.81,4.37,4879.5,8601.9,,5265.48,114,29238168
9494,1.76,5725.13,214.3,4.71,4884.1,8583.4,,5286.5,133,29918461
9505,1.83,6141.54,291.61,5.76,5029.6,9207.7,0.01,5568.13,120,30611095
9518,1.9,6215.97,623.03,5.38,4911.5,9319.3,,5715.44,131,31314341
9550,1.95,6311.15,661.38,6.49,4864,9462,,5944.95,131,32026742
9558,2.1,7022.38,348.25,8.95,5010.5,10528.3,,6918.35,143,32748784
9567,2.35,6968.75,590.2,9.73,4441.9,10447.9,,7402.62,160,33481396
